iter	Logloss
0	0.6608327515
1	0.6329352063
2	0.6071316964
3	0.5824493805
4	0.5615110203
5	0.54123941
6	0.5227313694
7	0.5067879104
8	0.4925913821
9	0.4786163474
10	0.4666057004
11	0.4554650298
12	0.4444821815
13	0.4350497894
14	0.4260521104
15	0.4175406086
16	0.4100583736
17	0.4033155608
18	0.3969047111
19	0.3908116755
20	0.3853796729
21	0.3804070284
22	0.3755767173
23	0.3713167638
24	0.3667506309
25	0.362848102
26	0.3592860543
27	0.3569171622
28	0.3532821583
29	0.3500168135
30	0.3469230501
31	0.3439345962
32	0.3413154158
33	0.3394329399
34	0.3376690794
35	0.3352808895
36	0.3337783453
37	0.3318540577
38	0.3298273428
39	0.3282522505
40	0.3270937756
41	0.3250569798
42	0.3232995715
43	0.3222206154
44	0.3214607453
45	0.3203577261
46	0.3193314226
47	0.3176416571
48	0.3162329006
49	0.3150115074
50	0.3141469705
51	0.3134342028
52	0.312227252
53	0.3116465024
54	0.3108037959
55	0.30973981
56	0.3089083278
57	0.3083432203
58	0.3072317757
59	0.3063724686
60	0.3057642572
61	0.3051081496
62	0.3045632444
63	0.3037716862
64	0.3029159447
65	0.3024714011
66	0.3020110484
67	0.3014826581
68	0.3008125073
69	0.3001207921
70	0.2997132024
71	0.2992737737
72	0.2985845301
73	0.2979190002
74	0.2973772095
75	0.296719866
76	0.2959008799
77	0.2954560927
78	0.2948128692
79	0.2943579944
80	0.2937737966
81	0.2931694552
82	0.2927984767
83	0.2925137309
84	0.2922156974
85	0.2918256015
86	0.2915183081
87	0.2910715904
88	0.2906766232
89	0.290098095
90	0.289424753
91	0.2891268368
92	0.288457376
93	0.2880862803
94	0.2877797153
95	0.2872535036
96	0.2868840181
97	0.286555715
98	0.2861847682
99	0.2858392488
100	0.2853799065
101	0.2851037621
102	0.2848772167
103	0.284472207
104	0.2841262276
105	0.2838809797
106	0.2834847157
107	0.2833072551
108	0.2829874587
109	0.2826190174
110	0.2821298949
111	0.281857961
112	0.2815920328
113	0.2813647138
114	0.2811021368
115	0.2807762378
116	0.2805807399
117	0.2803872402
118	0.2800967233
119	0.2797443165
120	0.2795321729
121	0.2791287848
122	0.2786081479
123	0.2782245335
124	0.2776056617
125	0.2772823247
126	0.2770682032
127	0.2767813488
128	0.2762682985
129	0.2759839068
130	0.2756638602
131	0.2754124826
132	0.2749638638
133	0.2747068459
134	0.274376671
135	0.2738007115
136	0.2733908982
137	0.2731245099
138	0.2728876288
139	0.2723161797
140	0.2719827326
141	0.2714819191
142	0.2708661866
143	0.2706193149
144	0.2703274742
145	0.2701774144
146	0.2698326483
147	0.2695401378
148	0.2692361821
149	0.2689756618
150	0.2685536907
151	0.2683004322
152	0.2678961262
153	0.2675692868
154	0.2674579265
155	0.2672494409
156	0.2669629721
157	0.2667492769
158	0.2664300782
159	0.2661857188
160	0.2660398086
161	0.2658117093
162	0.2656289511
163	0.2654205647
164	0.2652295885
165	0.2647751287
166	0.2646466288
167	0.2643432572
168	0.263980375
169	0.2637779513
170	0.2634688334
171	0.2631053716
172	0.2628347795
173	0.2623271756
174	0.2622038672
175	0.26202771
176	0.2615423538
177	0.2613867958
178	0.2611416922
179	0.2609831528
180	0.2608953978
181	0.2605950031
182	0.2604330155
183	0.2602499371
184	0.2598168658
185	0.2596375423
186	0.259297113
187	0.2590743901
188	0.258827329
189	0.2584308192
190	0.2580894653
191	0.2577992596
192	0.2576272363
193	0.2574256426
194	0.2571023574
195	0.2567369831
196	0.2565640758
197	0.2563250319
198	0.2561282959
199	0.255826839
200	0.2556002597
201	0.2554114644
202	0.2549126749
203	0.2546005632
204	0.2543058629
205	0.2539696193
206	0.2537824657
207	0.2535413516
208	0.2533163014
209	0.2531032331
210	0.252782096
211	0.2524872198
212	0.2523340783
213	0.2521942211
214	0.2519239493
215	0.2517172058
216	0.2514818233
217	0.2513661375
218	0.2512070828
219	0.2510312278
220	0.2508275593
221	0.250687498
222	0.2504626733
223	0.2502509018
224	0.2500317117
225	0.2498184574
226	0.2494837327
227	0.2491799551
228	0.2488700129
229	0.2486945538
230	0.2485453949
231	0.248288218
232	0.2480471704
233	0.247831936
234	0.247457409
235	0.247176461
236	0.2469684106
237	0.2467986628
238	0.2466482072
239	0.2462628968
240	0.2461270246
241	0.2459046254
242	0.2456612402
243	0.2454722971
244	0.245336337
245	0.2451530601
246	0.2448883632
247	0.2446684819
248	0.2445332287
249	0.2443180304
250	0.24395178
251	0.243723259
252	0.2434453296
253	0.2433005301
254	0.2431302873
255	0.2427155937
256	0.2425604529
257	0.2424302131
258	0.2422214444
259	0.2420902664
260	0.2418261626
261	0.2415642182
262	0.2412970867
263	0.2411303271
264	0.2410087912
265	0.240895222
266	0.2407114287
267	0.2404635737
268	0.2401802555
269	0.2399536796
270	0.2398046019
271	0.2395767631
272	0.2393961756
273	0.2392659223
274	0.2391563289
275	0.2389741808
276	0.2387292644
277	0.2385008674
278	0.2382959157
279	0.2381150823
280	0.2378040678
281	0.2376412717
282	0.2374306672
283	0.2372562635
284	0.2371073776
285	0.2370020308
286	0.2368542465
287	0.2366735541
288	0.2365662679
289	0.2364057574
290	0.2361877187
291	0.2360342174
292	0.235802326
293	0.2355326721
294	0.2353553422
295	0.2350943788
296	0.2349234301
297	0.2347131414
298	0.2345079078
299	0.2343149053
300	0.2341004444
301	0.2339667079
302	0.2336791667
303	0.2335012686
304	0.2333675196
305	0.2332927558
306	0.2330608915
307	0.2329671072
308	0.2327507655
309	0.2326305411
310	0.2325076916
311	0.2323440351
312	0.2320619685
313	0.2319247939
314	0.2316294114
315	0.2313383555
316	0.2310697729
317	0.2307582938
318	0.230423896
319	0.2301617543
320	0.2299989773
321	0.2298054708
322	0.2296588649
323	0.2294752069
324	0.2293678124
