iter	Passed	Remaining
0	153	153817
1	164	82271
2	178	59351
3	190	47523
4	200	39838
5	211	35057
6	223	31661
7	234	29087
8	246	27152
9	258	25567
10	270	24306
11	280	23085
12	293	22289
13	306	21569
14	317	20820
15	328	20174
16	340	19682
17	352	19245
18	362	18711
19	374	18371
20	387	18076
21	401	17832
22	416	17711
23	428	17432
24	441	17237
25	455	17047
26	466	16821
27	476	16538
28	487	16338
29	499	16163
30	509	15913
31	519	15711
32	531	15562
33	542	15406
34	554	15291
35	567	15185
36	578	15064
37	588	14899
38	600	14796
39	612	14696
40	622	14553
41	632	14428
42	644	14344
43	654	14228
44	665	14131
45	678	14070
46	689	13980
47	699	13875
48	711	13803
49	720	13690
50	730	13592
51	740	13506
52	750	13402
53	760	13321
54	769	13220
55	779	13137
56	790	13071
57	798	12974
58	808	12901
59	818	12819
60	828	12757
61	839	12701
62	848	12620
63	858	12558
64	867	12483
65	877	12418
66	888	12368
67	897	12307
68	907	12249
69	916	12180
70	926	12119
71	937	12086
72	948	12042
73	960	12014
74	973	12008
75	984	11973
76	996	11942
77	1010	11944
78	1025	11961
79	1038	11937
80	1046	11877
81	1056	11832
82	1068	11801
83	1077	11745
84	1088	11712
85	1096	11655
86	1106	11612
87	1117	11584
88	1126	11532
89	1137	11500
90	1146	11451
91	1156	11412
92	1168	11397
93	1184	11414
94	1199	11430
95	1214	11432
96	1228	11436
97	1240	11414
98	1253	11410
99	1268	11416
100	1284	11433
101	1299	11439
102	1313	11437
103	1325	11422
104	1340	11424
105	1355	11430
106	1368	11417
107	1380	11399
108	1388	11353
109	1400	11327
110	1410	11298
111	1419	11251
112	1430	11226
113	1438	11182
114	1450	11162
115	1462	11143
116	1470	11100
117	1482	11081
118	1494	11063
119	1503	11022
120	1514	10999
121	1526	10983
122	1535	10947
123	1547	10929
124	1559	10915
125	1568	10879
126	1578	10852
127	1588	10823
128	1598	10790
129	1609	10770
130	1618	10733
131	1628	10706
132	1638	10679
133	1647	10648
134	1659	10632
135	1669	10608
136	1679	10578
137	1691	10567
138	1700	10534
139	1711	10513
140	1723	10497
141	1732	10465
142	1742	10443
143	1753	10421
144	1762	10395
145	1774	10379
146	1785	10363
147	1795	10333
148	1806	10319
149	1815	10289
150	1827	10272
151	1839	10260
152	1848	10232
153	1860	10219
154	1872	10206
155	1881	10180
156	1894	10169
157	1906	10162
158	1918	10149
159	1929	10128
160	1941	10119
161	1953	10107
162	1963	10084
163	1975	10069
164	1987	10058
165	1998	10039
166	2008	10019
167	2020	10007
168	2030	9984
169	2041	9965
170	2053	9953
171	2062	9929
172	2073	9911
173	2085	9899
174	2094	9872
175	2103	9849
176	2115	9834
177	2123	9806
178	2133	9786
179	2142	9759
180	2151	9735
181	2162	9719
182	2171	9694
183	2181	9676
184	2191	9653
185	2200	9631
186	2211	9613
187	2220	9589
188	2230	9570
189	2239	9546
190	2249	9526
191	2258	9505
192	2267	9481
193	2277	9462
194	2286	9440
195	2296	9421
196	2305	9397
197	2314	9376
198	2324	9358
199	2333	9335
200	2343	9316
201	2352	9293
202	2362	9275
203	2371	9251
204	2382	9238
205	2392	9221
206	2400	9197
207	2411	9180
208	2419	9158
209	2429	9139
210	2439	9120
211	2448	9100
212	2458	9084
213	2467	9062
214	2478	9047
215	2487	9029
216	2496	9008
217	2506	8991
218	2515	8971
219	2525	8953
220	2534	8933
221	2543	8915
222	2554	8899
223	2563	8879
224	2573	8865
225	2582	8844
226	2593	8831
227	2604	8817
228	2613	8798
229	2623	8783
230	2632	8763
231	2642	8747
232	2653	8734
233	2662	8715
234	2673	8702
235	2682	8684
236	2692	8669
237	2703	8657
238	2713	8638
239	2723	8623
240	2733	8608
241	2742	8590
242	2753	8578
243	2762	8560
244	2773	8545
245	2783	8532
246	2794	8520
247	2804	8505
248	2814	8488
249	2823	8470
250	2835	8460
251	2844	8443
252	2855	8429
253	2865	8417
254	2875	8400
255	2886	8389
256	2898	8378
257	2907	8361
258	2918	8348
259	2927	8331
260	2937	8317
261	2948	8305
262	2958	8290
263	2969	8278
264	2981	8269
265	2990	8252
266	3001	8240
267	3012	8228
268	3023	8215
269	3034	8205
270	3045	8193
271	3055	8178
272	3066	8165
273	3076	8152
274	3086	8135
275	3097	8126
276	3107	8109
277	3117	8097
278	3128	8084
279	3138	8069
280	3148	8055
281	3159	8044
282	3168	8028
283	3179	8015
284	3188	7998
285	3198	7985
286	3209	7972
287	3218	7956
288	3228	7941
289	3239	7931
290	3248	7915
291	3259	7903
292	3268	7887
293	3278	7872
294	3289	7861
295	3299	7847
296	3310	7834
297	3319	7819
298	3329	7804
299	3339	7791
300	3348	7776
301	3358	7763
302	3367	7746
303	3377	7732
304	3388	7721
305	3396	7704
306	3408	7694
307	3417	7678
308	3427	7664
309	3437	7651
310	3446	7635
311	3456	7621
312	3465	7606
313	3474	7591
314	3484	7577
315	3493	7562
316	3505	7553
317	3514	7538
318	3524	7524
319	3534	7511
320	3543	7494
321	3553	7482
322	3562	7467
323	3572	7453
324	3581	7438
325	3590	7423
326	3601	7412
327	3610	7396
328	3621	7385
329	3630	7370
330	3639	7355
331	3649	7343
332	3658	7327
333	3668	7315
334	3677	7300
335	3687	7287
336	3705	7289
337	3716	7279
338	3726	7265
339	3735	7251
340	3744	7236
341	3754	7223
342	3764	7209
343	3774	7197
344	3783	7183
345	3793	7169
346	3803	7157
347	3814	7146
348	3826	7136
349	3837	7126
350	3847	7114
351	3856	7099
352	3866	7086
353	3875	7071
354	3884	7058
355	3895	7046
356	3903	7030
357	3913	7018
358	3922	7003
359	3933	6992
360	3943	6980
361	3952	6966
362	3962	6954
363	3971	6940
364	3981	6926
365	3991	6913
366	3999	6899
367	4010	6887
368	4019	6873
369	4030	6862
370	4039	6849
371	4048	6835
372	4058	6822
373	4068	6809
374	4077	6796
375	4086	6781
376	4096	6769
377	4106	6756
378	4115	6742
379	4126	6732
380	4135	6719
381	4145	6705
382	4155	6694
383	4164	6679
384	4174	6668
385	4183	6654
386	4192	6641
387	4201	6627
388	4210	6613
389	4221	6602
390	4230	6588
391	4241	6578
392	4250	6564
393	4260	6552
394	4270	6540
395	4279	6526
396	4289	6515
397	4298	6501
398	4308	6489
399	4317	6476
400	4326	6462
401	4338	6453
402	4347	6440
403	4357	6428
404	4366	6415
405	4375	6401
406	4385	6390
407	4395	6377
408	4404	6365
409	4413	6351
410	4423	6339
411	4434	6328
412	4443	6315
413	4454	6305
414	4464	6293
415	4473	6280
416	4484	6270
417	4493	6256
418	4503	6244
419	4512	6231
420	4521	6219
421	4532	6208
422	4542	6195
423	4554	6186
424	4566	6178
425	4576	6166
426	4587	6155
427	4597	6144
428	4607	6133
429	4618	6122
430	4630	6113
431	4639	6100
432	4650	6090
433	4660	6078
434	4669	6064
435	4679	6053
436	4689	6042
437	4701	6032
438	4711	6020
439	4720	6007
440	4730	5996
441	4739	5983
442	4750	5972
443	4762	5963
444	4773	5953
445	4785	5943
446	4802	5941
447	4815	5933
448	4828	5925
449	4837	5912
450	4847	5900
451	4856	5888
452	4866	5876
453	4876	5864
454	4885	5851
455	4895	5840
456	4904	5827
457	4913	5814
458	4924	5804
459	4933	5791
460	4943	5780
461	4952	5767
462	4961	5755
463	4971	5743
464	4981	5731
465	4991	5719
466	5000	5706
467	5009	5695
468	5019	5682
469	5028	5670
470	5039	5659
471	5047	5646
472	5058	5635
473	5067	5623
474	5078	5612
475	5088	5601
476	5098	5589
477	5108	5578
478	5118	5567
479	5128	5555
480	5138	5544
481	5147	5532
482	5157	5520
483	5166	5508
484	5177	5497
485	5190	5489
486	5202	5480
487	5211	5468
488	5224	5459
489	5236	5450
490	5246	5439
491	5257	5428
492	5270	5419
493	5279	5408
494	5289	5396
495	5300	5385
496	5309	5373
497	5319	5362
498	5328	5349
499	5338	5338
500	5349	5328
501	5358	5315
502	5368	5304
503	5377	5292
504	5387	5280
505	5396	5268
506	5405	5256
507	5416	5245
508	5425	5233
509	5435	5222
510	5444	5210
511	5453	5197
512	5464	5187
513	5472	5174
514	5484	5165
515	5494	5153
516	5503	5141
517	5513	5130
518	5522	5117
519	5532	5106
520	5541	5094
521	5550	5083
522	5561	5072
523	5570	5060
524	5582	5050
525	5591	5038
526	5601	5027
527	5612	5016
528	5621	5004
529	5631	4993
530	5640	4981
531	5649	4969
532	5660	4959
533	5669	4947
534	5682	4938
535	5693	4928
536	5703	4917
537	5715	4907
